AgriDemand,CommercialDemand,Country,CurrentHVLineDist,CurrentMVLineDist,EducationDemand,GHI,GridCellArea,HealthDemand,HydropowerDist,IsUrban,NightLights,PerCapitaDemand,PlannedHVLineDist,PlannedMVLineDist,Pop,ResidentialDemandTierCustom,RoadDist,SubstationDist,TransformerDist,TravelHours,X_deg,Y_deg,id,Admin1,Cat_1,Cat_2,Cat_3,Unc,Prim,Sec,GridPenalty,WindCF,PopStartYear,ElecPopCalib,Pop2025,Pop2030,Pop2020,ElecStart,GridDistCalibElec,FinalElecCode2020,Commercial_Multiplier,MVConnectDist,NewConnections2025,NumPeoplePerHH,HealthDemand2020,HealthDemand2025,EducationDemand2020,EducationDemand2025,CommercialDemand2025,AgriDemand2025,EnergyPerSettlement2025,TotalEnergyPerCell,Tier,AverageToPeak,MG_PV_Hybrid2025,MG_Wind_Hybrid2025,MG_Hydro2025,SA_PV2025,Grid2025,MinGridDist2025,ElectrificationOrder2025,MinimumOverall2025,MinimumOverallLCOE2025,MinimumOverallCode2025,InvestmentCost2025,ElecStatusIn2025,InvestmentCapita2025,FinalElecCode2025,NewCapacity2025,NewConnections2030,HealthDemand2030,EducationDemand2030,CommercialDemand2030,AgriDemand2030,EnergyPerSettlement2030,MG_PV_Hybrid2030,MG_Wind_Hybrid2030,MG_Hydro2030,SA_PV2030,Grid2030,MinGridDist2030,ElectrificationOrder2030,MinimumOverall2030,MinimumOverallLCOE2030,MinimumOverallCode2030,InvestmentCost2030,ElecStatusIn2030,InvestmentCapita2030,FinalElecCode2030,NewCapacity2030
54.47712,0.0,Sierra Leone,102.189,2.519,0.0,1996.0,0.009,0,17.29041,0,0.0,8.0625,53.833,2.519,52.00932,91.5,2.524,102.174,9999,2.11667,-11.74264,9.99361,21,Northern,0,0,0,0,0,0,1.0811572,0.002653402,64.225914,0.0,65.87602,67.56852,64.225914,0,2.519,99,0.375,0.0,65.87602,5.2,0,0,0.0,0.0,0.0,53.11254,584.238,599.2483,1,0.3,3.6931329,102.54084,99.0,0.63379276,99.0,0.0,0,SA_PV2025,0.63379276,3.0,2855.494,1,43.346485,3.0,0.3252271,2.6924975,0,0.0,8.140598,2.1708262,32.019688,64.09656,162.93573,99.0,0.6325231,99.0,0.0,0,SA_PV2030,0.6325231,3.0,156.49791,1,58.123695,3.0,0.017824363
44.96318,0.0,Sierra Leone,102.184,2.525,0.0,1996.0,0.026,0,17.30685,0,0.0,8.0625,53.907,2.525,42.92636,91.5,2.56,102.169,9999,2.11667,-11.74013,9.99361,22,Northern,0,0,0,0,0,0,1.0811572,0.003181859,53.009438,0.0,54.371365,55.768284,53.009438,0,2.525,99,0.375,0.0,54.371365,5.2,0,0,0.0,0.0,0.0,43.836914,482.20605,494.59497,1,0.3,4.6324387,103.48015,99.0,0.63379276,99.0,0.0,0,SA_PV2025,0.63379276,3.0,2356.8076,1,43.346485,3.0,0.2684291,2.396918,0,0.0,7.246932,1.9325153,28.5046,75.17637,174.01553,99.0,0.6325231,99.0,0.0,0,SA_PV2030,0.6325231,3.0,139.31773,1,58.123695,3.0,0.015867624
33.722385,0.0,Sierra Leone,106.279,10.493,0.0,2007.0,0.026,0,33.90532,0,0.0,8.0625,68.461,10.493,32.19477,91.5,3.737,106.271,9999,2.15,-11.45539,9.99333,23,Northern,0,0,0,0,0,0,1.0811572,0.00313683,39.75708,0.0,40.778526,41.826214,39.75708,0,10.493,99,0.375,0.0,40.778526,5.2,0,0,0.0,0.0,0.0,32.877686,361.65454,370.94623,1,0.3,5.9284897,104.7762,99.0,0.63031906,99.0,0.0,0,SA_PV2025,0.63031906,3.0,1757.9177,1,43.10891,3.0,0.20021842,2.0476885,0,0.0,6.1910586,1.6509489,24.351496,85.025536,183.8647,99.0,0.6290564,99.0,0.0,0,SA_PV2030,0.6290564,3.0,118.366905,1,57.80513,3.0,0.013481424
146.13033,547.9888,Sierra Leone,104.222,3.799,0.0,2007.0,0.052,0,27.55607,0,0.0,8.0625,63.788,3.799,139.51067,91.5,4.155,104.213,9999,2.16667,-11.52859,9.99222,24,Northern,0,0,0,0,0,0,1.0811572,0.001344815,172.28067,0.0,176.70694,181.24692,172.28067,0,3.799,99,0.375,0.0,176.70694,5.2,0,0,0.0,0.0,534.2624,142.46997,2101.4321,2155.4224,1,0.3,1.5409962,100.38871,99.0,0.63031906,99.0,0.0,0,SA_PV2025,0.63031906,3.0,10214.567,1,57.80513,3.0,1.1633904,5.5399837,0,0.0,16.749796,4.466612,65.88253,44.163437,143.00261,99.0,0.6290564,99.0,0.0,0,SA_PV2030,0.6290564,3.0,320.2395,1,57.80513,3.0,0.036473747
23.417883,0.0,Sierra Leone,107.759,14.237,0.0,2009.0,0.009,0,38.24099,0,0.0,8.0625,71.782,14.237,22.35706,91.5,8.156,107.754,9999,2.7,-11.40844,9.99278,25,Northern,0,0,0,0,0,0,1.070245,0.003510095,27.608564,0.0,28.317888,29.045437,27.608564,0,14.237,99,0.375,0.0,28.317888,5.2,0,0,0.0,0.0,0.0,22.831299,251.14427,257.5967,1,0.3,7.780501,106.62725,99.0,0.6296916,99.0,0.0,0,SA_PV2025,0.6296916,3.0,1219.5381,1,43.065994,3.0,0.13889955,1.7275479,0,0.0,5.223133,1.3928355,20.544323,92.30766,191.14578,99.0,0.6284302,99.0,0.0,0,SA_PV2030,0.6284302,3.0,99.76172,1,57.747585,3.0,0.011362382
93.671555,351.26834,Sierra Leone,111.058,6.008,0.0,2014.0,0.035,0,46.45621,0,0.0,8.0625,78.292,6.008,89.42826,91.5,7.92,111.054,9999,2.61667,-11.32447,9.99278,26,Northern,0,0,0,0,0,0,1.070245,0.002089342,110.43429,0.0,113.27158,116.18177,110.43429,0,6.008,99,0.375,0.0,113.27158,5.2,0,0,0.0,0.0,342.46954,91.32521,1347.0469,1381.6554,1,0.3,2.010203,100.85791,99.0,0.6281283,99.0,0.0,0,SA_PV2025,0.6281283,3.0,6524.921,1,57.604218,3.0,0.74315727,3.9101923,0,0.0,11.822222,3.1525924,46.50074,53.53655,152.37572,99.0,0.62687004,99.0,0.0,0,SA_PV2030,0.62687004,3.0,225.24356,1,57.604218,3.0,0.025654165
27.23856,0.0,Sierra Leone,102.896,5.692,0.0,2000.0,0.009,0,20.11244,0,0.0,8.0625,51.804,5.692,26.00466,91.5,5.772,102.878,9999,1.88333,-11.84764,9.99194,27,Northern,0,0,0,0,0,0,1.070245,0.00353984,32.112957,0.0,32.93801,33.78426,32.112957,0,5.692,99,0.4125,0.0,32.93801,5.2,0,0,0.0,0.0,0.0,26.55627,292.119,299.62415,1,0.3,6.780221,105.62793,99.0,0.6325252,99.0,0.0,0,SA_PV2025,0.6325252,3.0,1424.8915,1,43.259792,3.0,0.16228832,1.8462487,0,0.0,6.1402197,1.4885381,22.51414,85.164986,184.00415,99.0,0.6312581,99.0,0.0,0,SA_PV2030,0.6312581,3.0,109.81896,1,59.482212,3.0,0.012507855
22.48159,0.0,Sierra Leone,105.051,6.609,0.0,2006.129,0.009,0,30.44986,0,0.0,8.0625,65.777,6.609,21.46318,91.5,0.0,105.043,9999,1.98333,-11.49345,9.99194,28,Northern,0,0,0,0,0,0,1.0811572,0.014433837,26.504719,0.0,27.185682,27.884142,26.504719,0,6.609,99,0.4125,0.0,27.185682,5.2,0,0,0.0,0.0,0.0,21.918457,241.10303,247.29749,1,0.3,8.075747,106.923454,99.0,0.63059276,99.0,0.0,0,SA_PV2025,0.63059276,3.0,1172.454,1,43.12763,3.0,0.1335369,1.698459,0,0.0,5.648703,1.3693826,20.711912,91.30996,190.14912,99.0,0.6293295,99.0,0.0,0,SA_PV2030,0.6293295,3.0,100.71945,1,59.300488,3.0,0.011471463
23.417883,0.0,Sierra Leone,107.614,14.389,0.0,2007.2018,0.009,0,38.03659,0,0.0,8.0625,71.591,14.389,22.35706,91.5,7.952,107.608,9999,2.8049,-11.4101,9.99194,29,Northern,0,0,0,0,0,0,1.070245,0.004208757,27.608564,0.0,28.317888,29.045437,27.608564,0,14.389,99,0.375,0.0,28.317888,5.2,0,0,0.0,0.0,0.0,22.831299,251.14427,257.5967,1,0.3,7.780501,106.62725,99.0,0.6302557,99.0,0.0,0,SA_PV2025,0.6302557,3.0,1220.6306,1,43.104576,3.0,0.13902399,1.7275479,0,0.0,5.223133,1.3928355,20.544323,92.30766,191.14578,99.0,0.62899315,99.0,0.0,0,SA_PV2030,0.62899315,3.0,99.85109,1,57.79932,3.0,0.011372562
23.417883,0.0,Sierra Leone,116.988,6.925,0.0,2025.0,0.009,0,59.0504,0,0.0,8.0625,87.404,6.925,22.35706,91.5,2.447,116.988,9999,1.45,-11.20092,9.99194,30,Northern,0,0,0,0,0,0,1.0811572,0.010968658,27.608564,0.0,28.317888,29.045437,27.608564,0,6.925,99,0.4125,0.0,28.317888,5.2,0,0,0.0,0.0,0.0,22.831299,251.14427,257.5967,1,0.3,7.7785807,106.62725,99.0,0.6247162,99.0,0.0,0,SA_PV2025,0.6247162,3.0,1209.9022,1,42.72572,3.0,0.13780208,1.7275479,0,0.0,5.745446,1.3928355,21.066637,90.020966,188.86118,99.0,0.62346476,99.0,0.0,0,SA_PV2030,0.62346476,3.0,101.48975,1,58.747864,3.0,0.011559197
